ONS Code,Area name,Mode,Purpose,Frequency,2021,2020,2019,2018,2017,2016
E09000018,Hounslow,Cycling,Any,At least 3 times per week,5.19661919513652,4.7883000000000004,3.9896041750962605,8.5465,5.4627,3.3842
E09000018,Hounslow,Cycling,Any,At least 5 times per week,1.89816908790689,3.6824999999999997,2.5074306910461184,6.1211,3.0288,1.6889999999999998
E09000021,Kingston upon Thames,Cycling,Any,At least once per month,20.1882616358557,23.0208,24.480805822332584,23.7528,23.7734,20.8732
E09000021,Kingston upon Thames,Cycling,Any,At least once per week,10.8850017670398,14.932400000000001,16.30006984101382,19.2953,17.363799999999998,14.5347
E09000021,Kingston upon Thames,Cycling,Any,At least 3 times per week,2.87263290727739,6.8683,10.304833994254494,9.128,7.1185,8.681
E09000021,Kingston upon Thames,Cycling,Any,At least 5 times per week,1.42958999621109,3.4682999999999997,6.438515886943821,5.5477,5.7374,6.526400000000001
E09000024,Merton,Cycling,Any,At least once per month,17.3378745190899,17.8887,19.804567987501024,16.0154,17.3449,17.2198
E09000024,Merton,Cycling,Any,At least once per week,13.3307855395521,12.0977,14.66533959774342,11.3869,12.805900000000001,13.125
E09000024,Merton,Cycling,Any,At least 3 times per week,5.82334119180836,6.5682,8.25539152099532,5.434200000000001,8.3763,7.7632
E09000024,Merton,Cycling,Any,At least 5 times per week,3.49851123290673,3.7192000000000003,5.3076308518439985,3.0955,5.7203,3.9305
E09000026,Redbridge,Cycling,Any,At least once per month,8.39143660113813,10.754199999999999,9.364025287870541,8.8601,10.2042,12.9191
E09000026,Redbridge,Cycling,Any,At least once per week,4.64606971195535,6.9858,6.766403591419381,6.3998,6.2303999999999995,10.1459
E09000026,Redbridge,Cycling,Any,At least 3 times per week,0.704235204904581,2.6311999999999998,4.065015591410508,1.9985,2.0151,5.6923
E09000026,Redbridge,Cycling,Any,At least 5 times per week,0.312743441642877,1.1428,2.0256810674785806,1.8457000000000001,1.1334,3.8863000000000003
E09000027,Richmond upon Thames,Cycling,Any,At least once per month,26.7062293531384,31.6772,36.33106038912409,34.098299999999995,30.352,32.284800000000004
E09000027,Richmond upon Thames,Cycling,Any,At least once per week,18.4499506688872,23.8487,26.757007360404337,26.4849,21.7277,26.5978
E09000027,Richmond upon Thames,Cycling,Any,At least 3 times per week,6.89396413888699,14.2704,12.49299512405042,13.7449,10.3926,13.058900000000001
E09000027,Richmond upon Thames,Cycling,Any,At least 5 times per week,3.35230016921545,8.4303,6.791470222336117,8.8521,5.7056000000000004,7.8092999999999995
E09000029,Sutton,Cycling,Any,At least once per month,7.94176001855747,14.7673,12.235117032892942,10.814400000000001,8.3818,15.964999999999998
E09000029,Sutton,Cycling,Any,At least once per week,5.19448069416879,11.3841,7.35995239937886,6.6542,5.7347,8.8065
E09000029,Sutton,Cycling,Any,At least 3 times per week,2.48836140174148,5.4308000000000005,3.297645888794066,0.6905,2.4577,3.5759
E09000029,Sutton,Cycling,Any,At least 5 times per week,0.929393685795094,2.2382,2.6838438789240704,0.4626,1.7475,2.0631
E09000031,Waltham Forest,Cycling,Any,At least once per month,19.8157885263455,24.3019,20.067281035326705,16.0304,19.7543,18.947
E09000031,Waltham Forest,Cycling,Any,At least once per week,11.9582844382156,16.3136,14.263477889233847,12.2266,14.909500000000001,14.3727
E09000031,Waltham Forest,Cycling,Any,At least 3 times per week,4.25053158045303,8.4801,7.386123308605569,6.036,7.9902,7.3128
E09000031,Waltham Forest,Cycling,Any,At least 5 times per week,2.92194238566741,6.3852,2.585095148890297,3.1702,6.2266,4.7411
E92000001,England,Cycling,Leisure,At least once per month,9.89241469361458,13.3633,13.056124282725914,13.0332,13.5722,13.8797
E92000001,England,Cycling,Leisure,At least once per week,5.99348870286585,8.5209,7.553389418098997,7.7177,7.9971,8.0249
E92000001,England,Cycling,Leisure,At least 3 times per week,1.82820649863013,2.8225,2.146497176426886,2.2619,2.3307,2.2533000000000003
E92000001,England,Cycling,Leisure,At least 5 times per week,0.82766291442372,1.3477,0.9954948650837421,1.0772,1.1193,1.0333999999999999
E12000007,London,Cycling,Leisure,At least once per month,10.7112224554192,13.683100000000001,12.979627995271153,12.702,12.4455,13.181499999999998
E12000007,London,Cycling,Leisure,At least once per week,5.83790417223619,8.387500000000001,7.021778276473347,7.2071,6.9551,7.256600000000001
E12000007,London,Cycling,Leisure,At least 3 times per week,1.59562846713869,2.8972,1.5179582497378044,1.8450000000000002,1.7927,2.02
E12000007,London,Cycling,Leisure,At least 5 times per week,0.852550049147108,1.3240999999999998,0.8257838098978472,0.9135000000000001,1.0536,1.0491000000000001
E13000001,Inner London,Cycling,Leisure,At least once per month,13.8388122623002,17.6118,15.850960952910837,0,0,0
E13000001,Inner London,Cycling,Leisure,At least once per week,7.28390110240018,10.6394,8.417780654252812,0,0,0
E13000001,Inner London,Cycling,Leisure,At least 3 times per week,2.07455219635183,3.4214,1.7091708023043068,0,0,0
E13000001,Inner London,Cycling,Leisure,At least 5 times per week,1.05892966863494,1.6838,1.0600283349958468,0,0,0
E09000007,Camden,Cycling,Leisure,At least once per month,13.6162479352479,15.160699999999999,12.608283898637124,13.320799999999998,14.072899999999999,11.8601
E09000007,Camden,Cycling,Leisure,At least once per week,6.61191365960591,8.062800000000001,7.978732266345233,6.6847,6.4333,6.3504000000000005
E09000007,Camden,Cycling,Leisure,At least 3 times per week,1.97458913599584,2.545,0.5398255345607211,2.2856,1.8960000000000001,1.5626999999999998
E09000007,Camden,Cycling,Leisure,At least 5 times per week,1.48672616356624,1.9403,0.4001406318273725,1.6871,0.5431,0.8769000000000001
E09000001,City of London,Cycling,Leisure,At least once per month,7.33483427341693,14.560300000000002,19.15325987945288,12.9838,14.180100000000001,23.1001
E09000001,City of London,Cycling,Leisure,At least once per week,3.82364900869466,9.493,3.458430445407151,5.652900000000001,8.852,13.2051
E09000001,City of London,Cycling,Leisure,At least 3 times per week,0.89515195567041,2.1391,0.7096897015697484,1.0061,1.7089,4.0938
E09000001,City of London,Cycling,Leisure,At least 5 times per week,0.441449710563727,0.25579999999999997,0.08183545815407502,0,0,1.2356
E09000012,Hackney,Cycling,Leisure,At least once per month,17.5316780773679,27.6511,18.743167785967866,20.755599999999998,21.287300000000002,26.2099
E09000012,Hackney,Cycling,Leisure,At least once per week,9.7695941401828,16.8023,8.096788401238108,12.738900000000001,14.919599999999999,14.3957
